"","waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_dl_ratio","cmc_dl_ratio","d_dl_ratio","decision_case_number"
"569","ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",0,0,11,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"570","SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"571","TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",6,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",2
"572","TIDAL BASIN","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"573","WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",19,2016,2,"2016",7,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,2,"Never",0,0,2,12,2016,2,"Never",0,0,2,"3","NA","NA","greater than 1",7
"574","WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"575","WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"576","ANACOSTIA LOWER","NAPHTHALENE",NA,"PAH1",52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,0,"Never",0,0,0,40,2021,0,"Never",0,0,0,"4a","less than 1","NA","NA",2
"577","ANACOSTIA UPPER","NAPHTHALENE",NA,"PAH1",56,2019,3,"2014",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,56,2019,3,"Never",0,0,0,37,2019,0,"Never",0,0,0,"4a","less than 1","NA","NA",2
"578","BROAD BRANCH","NAPHTHALENE",NA,"PAH1",15,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","NA",15
"579","DALECARLIA TRIBUTARY","NAPHTHALENE",NA,"PAH1",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"580","DUMBARTON OAKS","NAPHTHALENE",NA,"PAH1",16,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","NA",9
"581","FENWICK BRANCH","NAPHTHALENE",NA,"PAH1",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"582","FORT DUPONT TRIBUTARY","NAPHTHALENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","NA",15
"583","FORT STANTON TRIBUTARY","NAPHTHALENE",NA,"PAH1",20,2021,1,"2014",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,1,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","less than 1","NA","NA",2
"584","HICKEY RUN","NAPHTHALENE",NA,"PAH1",6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","NA",2
"585","KINGMAN LAKE","NAPHTHALENE",NA,"PAH1",25,2019,2,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,2,"Never",0,0,0,15,2019,1,"Never",0,0,0,"4a","less than 1","NA","NA",2
"586","KLINGLE VALLEY","NAPHTHALENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"587","LUZON BRANCH","NAPHTHALENE",NA,"PAH1",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"588","MELVIN HAZEN VALLEY BRANCH","NAPHTHALENE",NA,"PAH1",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","NA",9
"589","NASH RUN","NAPHTHALENE",NA,"PAH1",7,2019,2,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","NA",2
"590","NORMANSTONE CREEK","NAPHTHALENE",NA,"PAH1",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","NA","NA",15
"591","OXON RUN","NAPHTHALENE",NA,"PAH1",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"592","PINEHURST BRANCH","NAPHTHALENE",NA,"PAH1",4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"593","PINEY BRANCH","NAPHTHALENE",NA,"PAH1",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"594","POPE BRANCH","NAPHTHALENE",NA,"PAH1",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a","less than 1","NA","NA",2
"595","PORTAL BRANCH","NAPHTHALENE",NA,"PAH1",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"596","POTOMAC LOWER","NAPHTHALENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","NA",15
"597","POTOMAC MIDDLE","NAPHTHALENE",NA,"PAH1",13,2021,1,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,1,"Never",0,0,0,13,2021,1,"Never",0,0,0,"Not Listed","less than 1","NA","NA",15
"598","POTOMAC UPPER","NAPHTHALENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","NA",15
"599","ROCK CREEK LOWER","NAPHTHALENE",NA,"PAH1",21,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","NA",15
"600","ROCK CREEK UPPER","NAPHTHALENE",NA,"PAH1",23,2008,2,"2008",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","NA","NA",15
"601","SOAPSTONE CREEK","NAPHTHALENE",NA,"PAH1",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"602","TEXAS AVENUE TRIBUTARY","NAPHTHALENE",NA,"PAH1",6,2019,1,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,1,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","NA",2
"603","TIDAL BASIN","NAPHTHALENE",NA,"PAH1",3,2014,1,"2014",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"604","WASHINGTON SHIP CHANNEL","NAPHTHALENE",NA,"PAH1",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"3","less than 1","NA","NA",9
"605","WATTS BRANCH LOWER","NAPHTHALENE",NA,"PAH1",3,2014,1,"2013",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,1,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","NA",8
"606","WATTS BRANCH UPPER","NAPHTHALENE",NA,"PAH1",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","NA",9
"607","ANACOSTIA LOWER","PCB_TOTAL",NA,"PCB_TOTAL",41,2021,41,"2021",13,0,0,41,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,41,2021,41,"Never",0,0,41,29,2021,29,"Never",0,0,29,"4a","NA","NA","NA",1
"608","ANACOSTIA UPPER","PCB_TOTAL",NA,"PCB_TOTAL",30,2016,30,"2016",8,2,0,30,2014-10-01,"2014",NA,"Never",2016-12-02,"2016",24,0,0,30,2016,30,"Never",2,0,30,18,2016,18,"Never",0,0,18,"4a","NA","NA","NA",1
"609","BROAD BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",6,2021,6,"2021",6,0,0,6,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,6,2021,6,"Never",0,0,6,5,2021,5,"Never",0,0,5,"4a","NA","NA","NA",1
"610","DALECARLIA TRIBUTARY","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"611","DUMBARTON OAKS","PCB_TOTAL",NA,"PCB_TOTAL",7,2021,7,"2021",6,1,0,7,2020-06-11,"2020",NA,"Never",2021-06-17,"2021",4,0,0,7,2021,7,"Never",1,0,7,5,2021,5,"Never",1,0,5,"4a","NA","NA","NA",1
"612","FENWICK BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"613","FORT DUPONT TRIBUTARY","PCB_TOTAL",NA,"PCB_TOTAL",5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,5,2021,5,"Never",0,0,5,5,2021,5,"Never",0,0,5,"Not Listed","NA","NA","NA",14
"614","FORT STANTON TRIBUTARY","PCB_TOTAL",NA,"PCB_TOTAL",9,2021,9,"2021",8,0,0,9,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,9,2021,9,"Never",0,0,9,5,2021,5,"Never",0,0,5,"4a","NA","NA","NA",1
"615","HICKEY RUN","PCB_TOTAL",NA,"PCB_TOTAL",3,2014,3,"2014",3,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,0,3,2014,3,"Never",0,0,3,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"616","KINGMAN LAKE","PCB_TOTAL",NA,"PCB_TOTAL",18,2016,18,"2016",7,0,0,18,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,0,18,2016,18,"Never",0,0,18,12,2016,12,"Never",0,0,12,"4a","NA","NA","NA",1
"617","KLINGLE VALLEY","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"618","LUZON BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"619","MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",6,2021,6,"2021",6,0,0,6,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,6,2021,6,"Never",0,0,6,5,2021,5,"Never",0,0,5,"4a","NA","NA","NA",1
"620","NASH RUN","PCB_TOTAL",NA,"PCB_TOTAL",4,2014,4,"2014",3,0,0,4,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,0,4,2014,4,"Never",0,0,4,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"621","NORMANSTONE CREEK","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"622","PINEHURST BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"623","PINEY BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"624","POPE BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",3,2014,3,"2014",3,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,0,3,2014,3,"Never",0,0,3,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"625","PORTAL BRANCH","PCB_TOTAL",NA,"PCB_TOTAL",2,2013,2,"2013",1,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,2,2013,2,"Never",0,0,2,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"626","POTOMAC LOWER","PCB_TOTAL",NA,"PCB_TOTAL",5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,5,2021,5,"Never",0,0,5,5,2021,5,"Never",0,0,5,"4a","NA","NA","NA",1
"627","POTOMAC MIDDLE","PCB_TOTAL",NA,"PCB_TOTAL",5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,5,2021,5,"Never",0,0,5,5,2021,5,"Never",0,0,5,"4a","NA","NA","NA",1
"628","POTOMAC UPPER","PCB_TOTAL",NA,"PCB_TOTAL",5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,5,2021,5,"Never",0,0,5,5,2021,5,"Never",0,0,5,"4a","NA","NA","NA",1
"629","ROCK CREEK LOWER","PCB_TOTAL",NA,"PCB_TOTAL",5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,5,2021,5,"Never",0,0,5,5,2021,5,"Never",0,0,5,"Not Listed","NA","NA","NA",14
"630","SOAPSTONE CREEK","PCB_TOTAL",NA,"PCB_TOTAL",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"631","TEXAS AVENUE TRIBUTARY","PCB_TOTAL",NA,"PCB_TOTAL",3,2014,3,"2014",3,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,0,3,2014,3,"Never",0,0,3,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"632","WASHINGTON SHIP CHANNEL","PCB_TOTAL",NA,"PCB_TOTAL",16,2016,16,"2016",4,0,0,16,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,0,16,2016,16,"Never",0,0,16,12,2016,12,"Never",0,0,12,"4a","NA","NA","NA",1
"633","WATTS BRANCH LOWER","PCB_TOTAL",NA,"PCB_TOTAL",3,2014,3,"2014",3,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,0,3,2014,3,"Never",0,0,3,0,NA,NA,NA,NA,NA,NA,"4a","NA","NA","NA",1
"634","WATTS BRANCH UPPER","PCB_TOTAL",NA,"PCB_TOTAL",5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,5,2021,5,"Never",0,0,5,5,2021,5,"Never",0,0,5,"4a","NA","NA","NA",1
"635","ANACOSTIA LOWER","PYRENE",NA,"PAH2",52,2021,14,"2016",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,14,"Never",0,0,0,40,2021,9,"Never",0,0,0,"4a","NA","NA","less than 1",3
"636","ANACOSTIA UPPER","PYRENE",NA,"PAH2",56,2019,30,"2016",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,56,2019,30,"Never",0,0,0,37,2019,13,"Never",0,0,0,"4a","NA","NA","less than 1",3
"637","BROAD BRANCH","PYRENE",NA,"PAH2",15,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","less than 1",15
"638","DALECARLIA TRIBUTARY","PYRENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"639","DUMBARTON OAKS","PYRENE",NA,"PAH2",16,2021,1,"2020",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,1,"Never",0,0,0,13,2021,1,"Never",0,0,0,"3","NA","NA","less than 1",10
"640","FENWICK BRANCH","PYRENE",NA,"PAH2",2,2013,1,"2007",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"641","FORT DUPONT TRIBUTARY","PYRENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","less than 1",15
"642","FORT STANTON TRIBUTARY","PYRENE",NA,"PAH2",20,2021,2,"2014",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,2,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","NA","NA","less than 1",3
"643","HICKEY RUN","PYRENE",NA,"PAH2",6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","NA","NA","less than 1",3
"644","KINGMAN LAKE","PYRENE",NA,"PAH2",25,2019,14,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,14,"Never",0,0,0,15,2019,7,"Never",0,0,0,"4a","NA","NA","less than 1",3
"645","KLINGLE VALLEY","PYRENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"646","LUZON BRANCH","PYRENE",NA,"PAH2",3,2013,1,"2007",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"647","MELVIN HAZEN VALLEY BRANCH","PYRENE",NA,"PAH2",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","less than 1",10
"648","NASH RUN","PYRENE",NA,"PAH2",7,2019,4,"2018",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,4,"Never",0,0,0,3,2019,1,"Never",0,0,0,"4a","NA","NA","less than 1",3
"649","NORMANSTONE CREEK","PYRENE",NA,"PAH2",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","NA","NA","less than 1",15
"650","OXON RUN","PYRENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"651","PINEHURST BRANCH","PYRENE",NA,"PAH2",4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"652","PINEY BRANCH","PYRENE",NA,"PAH2",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"653","POPE BRANCH","PYRENE",NA,"PAH2",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a","NA","NA","less than 1",3
"654","PORTAL BRANCH","PYRENE",NA,"PAH2",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"655","POTOMAC LOWER","PYRENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","less than 1",15
"656","POTOMAC MIDDLE","PYRENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","less than 1",15
"657","POTOMAC UPPER","PYRENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","less than 1",15
"658","ROCK CREEK LOWER","PYRENE",NA,"PAH2",21,2021,5,"2020",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,1,"Never",0,0,0,13,2021,1,"Never",0,0,0,"Not Listed","NA","NA","less than 1",15
"659","ROCK CREEK UPPER","PYRENE",NA,"PAH2",23,2008,18,"2008",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","NA","NA","less than 1",15
"660","SOAPSTONE CREEK","PYRENE",NA,"PAH2",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"661","TEXAS AVENUE TRIBUTARY","PYRENE",NA,"PAH2",6,2019,1,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,1,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","NA","NA","less than 1",3
"662","TIDAL BASIN","PYRENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"663","WASHINGTON SHIP CHANNEL","PYRENE",NA,"PAH2",19,2016,3,"2016",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,3,"Never",0,0,0,12,2016,2,"Never",0,0,0,"3","NA","NA","less than 1",10
"664","WATTS BRANCH LOWER","PYRENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"665","WATTS BRANCH UPPER","PYRENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","less than 1",10
